EYFP_ERF,mKate_ERF,EBFP2_ERF
955700.72,1007526.81,1156.15
2248.96,675856.83,26616.88
2248.96,2229.52,22984.40
2248.96,675966.16,1156.15
2993288.09,6974118.56,1156.15
2248.96,574299.18,1156.15
1622939.01,15617153.65,1156.15
2248.96,27823.95,4744.10
1319710.16,2108542.50,1156.15
185735.47,544456.64,1156.15
10462.82,40491.03,12417.05
2248.96,48808.37,50798.61
2248.96,106207.55,1156.15
2248.96,2229.52,1156.15
2248.96,112561.73,1156.15
2248.96,275652.02,1156.15
12437.63,44708.77,16254.17
94755.66,2229.52,1156.15
2248.96,15130.90,1156.15
2248.96,2229.52,1156.15
2248.96,106196.32,3760.54
2248.96,29933.84,6662.66
100522.71,2143487.68,43441.13
1221705.04,2095933.80,1156.15
18685.21,2229.52,16267.18
440225.08,8558758.99,30924.61
3832194.83,9737320.86,1156.15
38623.52,15004.93,22020.86
2415001.89,45533722.87,4269.22
2248.96,2229.52,1873.11
2248.96,34174.05,5701.76
715910.88,232442.85,29631.22
2248.96,36243.06,17216.36
619983.95,3367374.95,1156.15
1528570.34,930577.18,28458.22
2759552.42,1977662.25,51168.63
34537.80,32042.38,1156.15
92098.02,461732.26,51631.99
86726.11,2229.52,35459.28
68957.02,660930.07,33338.66
122719.61,713964.62,1156.15
994024.33,251234.87,26746.67
286616.64,52966.64,1156.15
2248.96,2229.52,1156.15
20526.70,32056.62,1156.15
20547.54,25605.37,23936.83
163545.61,222487.66,12361.42
319867.09,188468.59,5654.60
2248.96,72233.76,21043.77
96410.51,59392.52,29684.11
735533.95,1704463.14,30140.88
54414.14,53085.15,28726.44
44529.15,27539.62,61360.74
630308.62,1554192.66,29227.21
1753056.67,4738719.16,1156.15
401974.74,883124.71,1156.15
2248.96,23603.14,1156.15
50661.09,10781.12,16264.54
2248.96,2229.52,1156.15
1467063.48,13118013.79,1156.15
3042380.51,3631787.01,1156.15
2248.96,2229.52,6671.13
1213976.28,636340.95,63093.86
861807.30,3079010.15,15326.70
489889.99,1609445.58,19614.30
54457.19,3908052.40,1156.15
2248.96,406972.30,1156.15
2248.96,2229.52,1156.15
896860.95,14827815.11,6937.56
42478.43,40397.16,26811.11
1972444.33,4168525.40,50498.98
4554965.19,44432294.59,1156.15
2682.76,2229.52,1156.15
1895417.37,2239276.28,1156.15
20597.32,12753.95,57526.85
102160.88,1510356.73,4290.95
2248.96,2229.52,1156.15
2248.96,46878.33,6657.48
2248.96,19367.02,1156.15
2248.96,2229.52,1156.15
1752483.44,6242534.83,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
16455.49,42602.98,12416.40
2548763.30,1391385.26,2408.11
811279.45,7723890.68,26381.78
810734.29,98831.69,47904.51
2248.96,2229.52,1156.15
2248.96,82885.37,6646.47
2248.96,38238.50,46003.82
7454414.18,13001678.96,22849.37
2248.96,8671.47,25861.21
2248.96,137978.46,1156.15
552727.15,4278132.01,16879.39
64299.05,779683.56,1156.15
5712185.51,3681980.49,10344.39
4109047.03,4363547.75,1156.15
22690.33,2229.52,13388.37
218583.59,46584.57,23930.41
2621.20,13012.38,1156.15
2248.96,2229.52,1156.15
22922.12,663180.79,13186.32
2460062.89,97298.26,14318.89
60679.80,8644.71,18184.39
30599.50,19290.06,12423.53
1741545.18,10264721.35,1156.15
2248.96,1027174.61,91762.47
80444.63,48732.66,49839.02
56637.13,14982.53,22980.47
2248.96,12972.99,10506.25
23032476.93,43551273.64,47097.69
2248.96,2229.52,46014.89
1303690.97,2229.52,33540.45
2248.96,61663.89,16248.98
20292.73,423896.01,1156.15
2248.96,38429.57,1156.15
2248.96,61643.45,21047.00
6153.09,95612.72,1156.15
2576778.49,13671814.51,1156.15
5294233.12,18352059.95,1156.15
540813.52,404304.46,1156.15
1574609.27,5143447.88,1156.15
112629.39,2482546.07,1156.15
358568.25,773030.28,1156.15
2248.96,13012.83,1156.15
1944542.64,14678530.64,1156.15
1116721.45,7516117.43,1495.63
6527.69,29952.81,1156.15
10530.86,29948.74,1156.15
97121.95,639858.91,1156.15
62656.65,15069.40,1156.15
872116.51,1975560.28,1156.15
54191.12,95563.89,1156.15
72676.66,12941.17,1156.15
8687.51,2229.52,1156.15
8674.29,4534.03,1156.15
2248.96,341312.40,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
1619481.24,5698331.54,1156.15
10663.79,6650.06,1156.15
2248.96,2229.52,1873.11
5578916.31,6342398.18,6652.40
233563.70,932011.05,1156.15
1149136.03,2536561.92,1156.15
42697.09,2229.52,26822.83
82292.61,78481.58,26799.47
40615.06,19327.91,1156.15
534724.10,416942.30,19019.20
18483.58,36185.45,26812.40
2248.96,38410.17,5700.46
2248.96,65964.38,1156.15
2248.96,428152.92,1156.15
2248.96,449248.73,20928.53
2248.96,2229.52,17226.78
2621363.51,7260433.29,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
116223.05,447016.31,19969.61
1955236.56,11397547.14,24299.29
216205.22,1516533.72,18683.10
14648.29,2229.52,66166.57
2248.96,2229.52,1156.15
912643.69,1888679.16,1156.15
50441.63,48893.97,19131.69
10337.83,59451.40,36401.31
709184.81,7932.37,30659.45
398968.29,2229.52,41216.93
220463.03,67754.98,25843.15
224849.09,2229.52,15307.64
2248.96,2229.52,1156.15
3906883.93,1555130.93,21550.11
2092194.14,1423452.49,41742.01
2248.96,95617.24,1156.15
1803050.57,5795445.33,29850.04
30060.91,114635.54,4717.56
16366.44,59595.49,1156.15
2512.44,32074.93,1156.15
708411.31,3655336.89,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
14980.10,652623.14,7431.93
6203906.71,2747464.65,1156.15
88234.74,3600900.90,1156.15
26864.05,322138.13,20967.38
3192421.36,7499005.60,42763.77
1296926.82,833284.29,51518.42
96037.21,125060.61,27744.84
50231.80,80485.05,61344.55
172013.01,1541917.48,36907.79
6573.99,19273.60,22019.56
174586.02,38087.60,40246.25
36599.80,21450.04,1156.15
6685.93,2229.52,1156.15
2248.96,334958.20,1156.15
2248.96,2229.52,1156.15
278690.49,38120.77,7619.76
2682.76,2229.52,1156.15
340140.01,4003074.23,1156.15
10410.02,51129.35,1156.15
10652940.96,11950102.59,1156.15
2248.96,61618.93,26804.63
145088.78,300902.87,5620.23
32453.48,44688.42,16254.17
718080.06,5802428.35,141161.80
437320.11,3458636.97,1156.15
2248.96,2229.52,1156.15
10536.62,27790.83,10501.72
618286.99,8927256.66,1156.15
2248.96,1866111.03,46404.72
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
640338.89,851075.92,9290.47
323803.16,1954937.13,1156.15
993510.20,1395022.91,16801.03
983385.85,3873219.48,1156.15
2248.96,12891.25,29698.33
2248.96,4435.35,25862.50
22673.86,4447.25,18185.68
2248.96,1052981.09,1156.15
2248.96,2229.52,1156.15
1640258.36,5558291.38,52952.99
2248.96,2229.52,1156.15
34513.14,36275.45,1862.70
46471.71,44719.14,5698.53
66993.80,307355.82,1156.15
2248.96,2229.52,1156.15
1317292.86,2532151.78,1156.15
37924.67,140059.46,1156.15
2682.76,2229.52,1156.15
1856322.78,49435767.26,1156.15
2248.96,40547.64,1156.15
18695.44,2229.52,1156.15
4095962.42,8411153.37,1156.15
329599.15,1289863.75,1156.15
2248.96,2229.52,1156.15
1881106.54,4045987.06,1156.15
4684.34,2229.52,1156.15
1180426.39,560389.96,1156.15
1117200.77,1117501.21,1156.15
54626.15,19313.66,1156.15
14630.70,13000.17,1156.15
4684.34,2229.52,1156.15
2293796.52,2929355.47,1156.15
52715.40,2229.52,11469.17
40572.22,23446.53,28735.50
1103012.24,4654577.22,18683.53
5399900.95,20175465.65,24495.05
194080.47,480756.45,36272.54
13230924.27,31600745.76,19083.60
3053986.59,5099359.32,52133.66
2248.96,2229.52,52732.12
4767794.12,8876164.39,63454.08
2000222.90,1055009.56,40895.03
2248.96,48939.17,20091.28
2248.96,2229.52,11469.15
6016.43,118887.90,6635.47
2248.96,425954.15,19976.04
6613.89,10748.22,34496.99
26237.46,80664.78,24879.60
859988.45,3398874.14,6592.51
2248.96,23591.91,3785.79
2248.96,2229.52,1156.15
2248.96,74368.17,17204.70
451395.64,991079.70,4449.67
693150.43,2117554.48,23297.40
2248.96,87104.70,10483.59
266175.98,476537.02,15162.57
6207108.08,7097934.73,1156.15
2248.96,4484.40,14347.26
2248.96,193048.08,1156.15
17322131.89,65635875.02,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
2248.96,320131.78,1156.15
2248.96,2229.52,1156.15
2248.96,2229.52,1156.15
18695.44,2229.52,1156.15
253982.04,1209353.63,24534.60
395106.26,332423.56,4650.99
2248.96,21485.08,1156.15
732627.31,463414.84,1156.15
2248.96,2229.52,9549.94
165647.12,557185.35,1156.15
74684.91,1063464.01,7306.35
2248.96,25721.20,1156.15
